Day    Avg(s)    STD(s)    Time %    Avg(MB)   STD(MB)   Memory%   Lang      Lines     
---------------------------------------------------------------------------------------------------------------------------------------
 1     0.68      0.17      0.50%     19.51     27.59     0.67%     .py         69      
 2     0.54      0.05      0.39%     58.08     0.67      1.99%     .py         67      
 3     0.51      0.01      0.37%     35.17     24.87     1.21%     .py         110     
 4     0.54      0.05      0.39%     58.16     1.48      2.00%     .py         53      
 5     16.77     2.21      12.27%    23.66     0.12      0.81%     .py         58      
 6     0.76      0.21      0.56%     4.64      0.11      0.16%     .c          122     
 7     0.27      0.10      0.20%     22.34     0.70      0.77%     .py         75      
 8     1.04      0.12      0.76%     40.83     28.87     1.40%     .py         140     
 9     0.10      0.00      0.08%     1.61      0.01      0.06%     .py         52      
 10    0.10      0.00      0.08%     1.63      0.01      0.06%     .py         91      
 11    0.10      0.00      0.08%     1.61      0.02      0.06%     .py         69      
 12    16.55     2.88      12.11%    44.60     63.07     1.53%     .py         67      
 13    1.14      0.05      0.84%     11.19     0.02      0.38%     .py         61      
 14    1.01      0.00      0.74%     25.10     0.13      0.86%     .py         129     
 15    0.96      0.12      0.71%     2.97      0.00      0.10%     .c          110     
 16    2.59      0.16      1.89%     14.39     10.17     0.49%     .rb         116     
 17    59.48     3.68      43.51%    1943.58   2.57      66.69%    .py         56      
 18    1.52      0.08      1.11%     59.82     0.63      2.05%     .py         203     
 19    0.64      0.05      0.47%     61.12     0.77      2.10%     .py         64      
 20    6.36      0.26      4.65%     61.74     0.25      2.12%     .py         137     
 21    1.41      0.00      1.03%     66.14     0.23      2.27%     .py         100     
 22    3.75      0.05      2.74%     23.45     2.17      0.80%     .py         123     
 23    1.17      0.05      0.86%     60.41     0.21      2.07%     .py         147     
 24    16.71     1.30      12.22%    254.47    179.94    8.73%     .rb         47      
 25    1.98      0.05      1.45%     18.12     0.01      0.62%     .rb         53      
---------------------------------------------------------------------------------------------------------------------------------------
Total  136.69    11.64     100.00%   2914.33   344.61    100.00%   N/A         2319    


Year: 2017, Iterations: 3
