Day    Avg(s)    STD(s)    Time %    Avg(MB)   STD(MB)   Memory%   Lang      Lines     
---------------------------------------------------------------------------------------------------------------------------------------
 1     0.88      0.18      0.45%     61.08     0.30      3.91%     .py         103     
 2     0.57      0.05      0.29%     58.40     1.32      3.73%     .py         109     
 3     0.58      0.04      0.30%     40.16     28.40     2.57%     .py         113     
 4     0.78      0.04      0.40%     40.70     28.78     2.60%     .py         98      
 5     35.08     0.34      18.00%    3.98      5.62      0.25%     .py         71      
 6     0.58      0.04      0.30%     39.54     27.96     2.53%     .py         43      
 7     0.10      0.00      0.05%     1.61      0.02      0.10%     .py         51      
 8     0.20      0.00      0.10%     21.43     0.79      1.37%     .py         112     
 9     0.10      0.00      0.05%     1.60      0.01      0.10%     .py         86      
 10    0.10      0.00      0.05%     1.61      0.01      0.10%     .py         61      
 11    32.62     1.08      16.74%    16.90     0.18      1.08%     .py         142     
 12    6.13      0.08      3.14%     10.04     0.01      0.64%     .py         104     
 13    0.20      0.00      0.10%     21.21     0.32      1.36%     .py         129     
 14    37.36     5.20      19.18%    22.08     15.61     1.41%     .rb         63      
 15    0.28      0.11      0.14%     14.08     9.98      0.90%     .py         80      
 16    16.78     0.68      8.61%     686.52    485.71    43.90%    .py         103     
 17    0.20      0.00      0.11%     13.35     0.13      0.85%     .py         77      
 18    20.21     1.80      10.37%    361.50    8.04      23.11%    .py         81      
 19    0.63      0.01      0.32%     14.46     0.00      0.92%     .c          61      
 20    0.20      0.00      0.10%     20.09     1.97      1.28%     .py         75      
 21    0.71      0.00      0.36%     23.70     0.18      1.52%     .py         246     
 22    37.63     12.20     19.31%    60.51     0.12      3.87%     .py         292     
 23    0.10      0.00      0.05%     1.61      0.00      0.10%     .py         124     
 24    0.48      0.09      0.24%     16.25     11.49     1.04%     .py         112     
 25    2.35      0.48      1.20%     11.59     0.06      0.74%     .py         126     
---------------------------------------------------------------------------------------------------------------------------------------
Total  194.86    22.43     100.00%   1564.00   627.03    100.00%   N/A         2662    


Year: 2016, Iterations: 3
