Day    Avg(s)    STD(s)    Time %    Avg(MB)   STD(MB)   Memory%   Lang      Lines     
---------------------------------------------------------------------------------------------------------------------------------------
 1     45.91     2.19      26.62%    19.54     0.07      1.01%     .rb         59      
 2     0.10      0.00      0.06%     1.61      0.01      0.08%     .py         74      
 3     1.91      0.08      1.11%     157.10    0.79      8.12%     .py         87      
 4     0.15      0.04      0.09%     5.18      7.32      0.27%     .py         77      
 5     0.81      0.00      0.47%     60.70     0.18      3.14%     .py         54      
 6     14.60     0.26      8.46%     60.70     85.84     3.14%     .py         109     
 7     2.42      0.22      1.40%     98.77     0.15      5.11%     .py         194     
 8     0.61      0.08      0.35%     57.03     1.00      2.95%     .py         57      
 9     0.87      0.05      0.51%     243.30    4.77      12.58%    .py         44      
 10    1.91      0.14      1.11%     110.87    0.29      5.73%     .py         128     
 11    1.21      0.00      0.70%     19.04     0.07      0.98%     .rb         77      
 12    0.58      0.53      0.34%     22.55     0.90      1.17%     .py         73      
 13    57.44     1.01      33.30%    61.57     0.10      3.18%     .py         263     
 14    0.80      0.05      0.46%     87.09     26.53     4.50%     .c          160     
 15    18.87     0.67      10.94%    14.54     0.02      0.75%     .py         155     
 16    0.10      0.00      0.06%     1.61      0.01      0.08%     .py         172     
 17    0.67      0.05      0.39%     64.42     3.69      3.33%     .py         119     
 18    10.78     0.13      6.25%     60.02     0.07      3.10%     .py         113     
 19    3.32      0.00      1.92%     83.36     0.26      4.31%     .py         151     
 20    1.14      0.05      0.66%     97.33     3.21      5.03%     .py         60      
 21    0.91      0.00      0.53%     82.43     0.05      4.26%     .py         130     
 22    3.69      0.13      2.14%     302.56    4.71      15.64%    .py         174     
 23    0.91      0.01      0.53%     55.79     39.45     2.88%     .py         68      
 24    1.38      0.05      0.80%     83.75     0.34      4.33%     .py         209     
 25    1.41      0.00      0.82%     83.55     0.07      4.32%     .py         71      
---------------------------------------------------------------------------------------------------------------------------------------
Total  172.51    5.75      100.00%   1934.41   179.90    100.00%   N/A         2878    


Year: 2018, Iterations: 3
