Day    Avg(ms)     STD(ms)   Time %    Avg(MB)   STD(MB)   Memory %  Lang      Size(kB)  Lines     
----------------------------------------------------------------------------------------------------
 1     244.93       58.48    0.38%      16.55     0.03     1.18%     .rb        1.17      44       
 2     1370.90      697.22   2.12%      5.40      3.82     0.38%     .jl        1.68      57       
 3     1210.97      431.69   1.87%      82.93     0.10     5.90%     .py        2.87      93       
 4     275.77       41.18    0.43%      14.93     10.67    1.06%     .rb        4.15      132      
 5     596.78       92.95    0.92%      8.10      0.00     0.58%     .jl        2.29      70       
 6     10275.76     1910.86  15.90%     86.58     0.01     6.15%     .py        2.61      89       
 7     4758.82      46.34    7.36%      11.99     8.48     0.85%     .rb        1.50      58       
 8     438.58       47.34    0.68%      18.39     0.04     1.31%     .rb        1.72      71       
 9     308.57       6.25     0.48%      15.62     11.05    1.11%     .rb        3.13      128      
 10    1007.92      83.89    1.56%      83.12     0.32     5.91%     .py        4.18      113      
 11    1007.27      1.17     1.56%      83.76     0.28     5.95%     .py        2.42      73       
 12    1046.12      53.42    1.62%      85.16     0.06     6.05%     .py        3.61      102      
 13    204.23       0.65     0.32%      16.63     0.17     1.18%     .rb        2.48      91       
 14    12014.95     877.87   18.59%     83.72     0.30     5.95%     .py        5.22      137      
 15    4888.76      45.60    7.56%      83.94     0.07     5.97%     .py        7.49      186      
 16    1140.76      46.15    1.76%      95.58     1.91     6.79%     .py        4.61      120      
 17    9007.55      526.33   13.94%     55.73     39.41    3.96%     .py        5.22      152      
 18    1044.35      46.44    1.62%      56.35     39.85    4.01%     .py        3.87      122      
 19    304.18       1.60     0.47%      12.03     0.16     0.86%     .py        1.76      61       
 20    2847.41      548.02   4.41%      109.37    0.19     7.78%     .py        3.95      113      
 21    203.92       0.87     0.32%      16.57     0.14     1.18%     .rb        3.73      156      
 22    6461.13      51.88    10.00%     149.69    0.16     10.64%    .py        3.84      105      
 23    1980.58      120.92   3.06%      98.68     69.78    7.01%     .py        1.97      66       
 24    1081.96      43.57    1.67%      60.65     30.84    4.31%     .py, rb    8.50      224      
 25    910.93       7.13     1.41%      55.23     39.05    3.93%     .py        2.76      83       
----------------------------------------------------------------------------------------------------
Total  64633.11    5787.84   100.00%   1406.71    256.90   100.00%    N/A       86.73    2646      


Year: 2024, Iterations: 3
